tweet,sentiment
"@jonathanrknight ANGELA + JON = STARBUCKS IN THE VILLAGE? COME ON LETS HIT IT!  F'n SECURITY RUINED MY PLAN IN PITTS, i really tried ",0
He seems different today...   neenahhhbabe(:,0
[0:08] ÔøΩ Restaurant on the moon ... no atmosphere  ÔøΩ,0
@neilhimself Welcome back to Chicago. I wish I had tickets.  ,0
"@Jenn_M_Brown  I wish you were here so Jill, Cherie, &amp; I could make you feel better, laugh, &amp; feel loved!",0
Awwww they make me miss both my grandads ,0
"@suziperry Sorry it was not mean to be insensitive, apologies. Clumsy thoughtless. Will leave as twitter follower. ATB. Falls on sword.  ",0
"YOO, Metro train crash between Ft. Totten and Takoma?? That's the line of my youth ",0
Ok yall i kind of got my twitter going again but no new phone yet! ,0
keep seeing pics of parties and beach bumming on fb...sad i'm not there this summer   shoutout to ios!,0
ohh how i wish i was Dallas right now ,0
"Just up, Feeling illl ",0
OMG- I just went from having 200 followers to 199 ,0
Someone bring me Taco Bell! ,0
Last night was great! LA and SF fam all together. Back to LA tonight tho. I miss my own bed ,0
I'm so bored. Haven't talked to anybody in ages ,0
@therealswizzz http://twitpic.com/5ctk2 - mmmm Im not a fan of these... ,0
"@pwnica  I'm sorry, that sucks",0
@frankiecheska yeah mega mixup on the trains  im having to go Sheffield-Doncaster then down to Kings X,0
is awful tired and is not looking forward to college today ,0
Thanx guys..I love u all ,0
How am I not tired??? I've done loads of stuff today but I'm still wide awake ,0
My house is going to be empty again  I NEED INTERNET ACCESS X(,0
@blush__  fingers crossed if i get the job  i forgot to give you peppermint pattie on saturday night ,0
im very bored      ,0
@aliyaki I think it's reaallyy pretty! Wish I could have it in blue. ,0
@NOTGsarah I love youuu ,0
"having the time of my life...NOT!i'm kinda bored, wish i could go hang out with my BFF but she has summer school ",0
2 story rejections this week now. ,0
Very tired. May hop offline around lunchtime and take a nap. ,0
I think @LOVEFiLM_UK took my free film credit away from me.  I want to use it now and I can't find it.,0
Big dancehall concert in NY this weekend  wish I could go ,0
Hey noww don't be mean just because you're tall and i'm small don't bully me ,0
"where is the sun i ask you?? where, where??? ",0
It fucking sold out. Why the fuck did I have to be so tired this morning. ,0
@ExtraordMommy Thank u 4 the #followfirday - I did not get a chance to do my yesterday ,0
Aaaah I want no 1 to be no 1  Such a good song x,0
Rocking the high life again. Prolly not the best idea but its all i had ,0
@AdrianMIDL Let me suck the mocos out of your nose girl. ,0
feels so lost without her phone!! ,0
wanted to change the distro am using. Its boring for me now ,0
@FollowLucas You're awesome. I hope i can meet you. But i'm in Asia ,0
@cedceballos youuuu take ya ass to bed lol ... I can't sleep ,0
@jfilip That's the worst  Who steals a car?,0
"@dominic_mcg I did *try* to comment, but #bloggerfail ",0
@psychocha my slr is dead to the world now. my uncle broke it. then tried to fix it. then made it worse  so now it cannot be fixed.,0
i just ruined my appetite by eating cake first ,0
I feel like I could throw up for twenty gazillion hours. Gross. ,0
@breatheheavycom oh yes..I'm aware that I'm a day late in replying to your post..my twitter was doing funny stuff yesterday ,0
@Wordnerd36214 Hahaahaha noo. just pizza xD lol I know they weren't there  xD,0
DAMN KOREAN WEATHER...WANNA RAIN ALLW EEKEND.  OH WELL IMA MAKE SUMTHIN SHAKE,0
Alright Espana here i come. Seven hour flight! Missing you already ,0
Walking home after my history exam. It was ok i guess :s got another tommorow! Why?  On the bright side after that no more for a week!,0
@NettyNotAChance Candy's gross. ,0
"*sigh* my feet hurt from ballet yesterday, and yet i must go dancing again in an hour. oh woe is meee ",0
Survivor mode is crazy!!! ...but its not the same without my friends...   Tomorrow it shall be fun!!,0
Ugh...Night #4 with vitualy no sleep! ,0
@embugg12  u never replied to me ,0
@Eric_Olson i miss being at work with you! ,0
@Fitriosaurus I don't have those anymore... ,0
is listening to combichrist meh need some new tunage. and to get all that *** crap off my itunes. haha wonder where kyle is? ,0
"@SummerSunRays I didnt enjoy it, but it destroyed the lawn ",0
"@Lokizilla Hmm, I wanted to access from work - so something that works through a browser is preferable (+FREE). Can't really install here ",0
@xuset eso tendrÔøΩ que hacer ,0
"going back to the hospital with mom, doing a heart catherization...could be staying another night  PRAY!",0
": i've still got the grade seven kevin stuck in my head, and i want him out, because grade nine kevin SUCKS. ",0
It's Saturdau Morning and I just woke up with a stomach ache.  Maybe it's from all the food I ate last nite.,0
Saw a cloud shaped like a heart and and to tell the girls that it was Care-a-lot!! Aydia didn't know what it was!!  poor thing!!,0
@ElyssaD i love those topics... but i find talking about real things about this world... tends to up set people ,0
"@Almienova it was on so late tho, even I couldnt stay up  Yeah, I'll look about for a link for u, in the meantime tryy and watch!",0
@zHundred No. Not professional at all. ,0
and found nothing ,0
@teabbers me too!!! im so sad i hate college ,0
HOMG PRAY FOR JOLO EJERCITO!  One of our dance X members who got the AH1N1 Flu  GET WELL SOON JOLO! :-bd,0
i need a new laptop...helpppp. ,0
Hungover...very!  This is what you get for partying and drinking and dancing all night... I don't regret a minute though!,0
so my boy bff just told me the army called him baaack... &amp; to fcukin IRAQ! riiight when we thought he was gonna be home for good!  sucky!,0
"Dammit, this vista laptop won't find any updates without erroring out ",0
Missed church cuz I overslept ,0
I'm really boring now..I would like to somebody make me happy (;D) but nobody wrote for me anything what could be funny .  HELLLLP ,0
Took a nap at birch. Somehow I got to Valeria's place. I'm hungry. ,0
"This is a beautiful Monday morning with ten pages of Newtrak waiting for me, and thats only one of my steps. Oh and 6 complaints to type ",0
@FollowWatch i didn't get a DM ,0
I think TOI is biased ....... ,0
I already look like a lobster and its only June 15! ,0
@cinthiacg to...Ashfield or something? I'm sure i'd still feel the same way there ,0
What will I do? ,0
"@peterfacinelli i am so glad that u are and always will be Team Edward, i don't really like Jacob fans ",0
@heidiheartshugs  *hugs* i hate a bad evening to a day...,0
Twittering in bed. Not feeling well.. ,0
Here comes the rain... At least things should cool down now. I have a heat rash! ,0
@backstreetboys AWW. I've never seen it...  LOL,0
another week has passed since we were together  how much longer,0
I miss Texas ,0
"I feel so worthless, I wish I never did the things I did ",0
Too many Friday lollies ,0
why?why?!! *raises hands to the heavens* stupid implications of the feminine condition... ,0
@sillycilla sore is good. I feel sore too. &amp;I walked across the univ. hosp parking lot.  FOL.,0
back at desk less than 6 hours after I went to bed. This _is_ the life ,0
oh darn. it feels like someone squeezed lemons on my eyes while watching ONE TREE HILL final episodes for season 6. ,0
bruno took my sharpie ,0
is so sad..  khamee is leaving?? :'-( http://plurk.com/p/12oz7m,0
is sick and has lost her voice ,0
julia nunes plays in knoxville tomorrow and im not going to be there yet.  sad sad sad sad,0
just watched the season 5 finale of The Hills...... cant believe Lauren has gone.. ,0
the mtv movie awards was terrible ,0
Yet another massive coffee fail ,0
jus created dis twitter and dont kno how to work it.... need help...  ,0
i have no idea what to wear to the greek festival tonight ,0
@Jesse_Jinx My parents found out about the plan! what should we do? They've git me on lockdown ,0
im bored  my phone is going dead and i am tired  but i still happy,0
My sites have been down for twelve hours ... tried contacting @netfirms without any response ,0
@thelane This is very bad planning on my part!!! ,0
at home... sick ,0
@whyywarren I didn't!    I think I'll try to get it done tomorrow.  Had a lot going on yesterday and wasn't in the video mood. ,0
I wish the recently bathed dog wouldn't go outside and roll in stinky stuff ,0
@Lisa_Veronica my mummy's better ;)  but she's at work now  oh well..i made her breakfast &lt;3,0
@ladycameo yeahh.. its kinda sketch. we've been sitting on the floor in a lobby because its too cold out and we dont know what to do yet ,0
is thinking what day is it today.......?? Mad Monday  missing my ipod already  shame thats all i have to miss.....ha!,0
dont like how aaron doesnt have a phone. i cant tell him to come over now ,0
I want it to be november 14th already... ,0
Got home late. Lil bummed. Missed everything  but I'm watching clips online now. Looked like a great show. Shocked w/ Eminem thing...,0
@Rmediavilla I want to listen to the show but can't in my area ,0
Going to bed  But thinking and dreaming of someone = ),0
hello ng√†y m·ªõi :x.  b·∫Øt ƒë·∫ßu th·∫•y thik th√∫ v·ªõi vi·ªác update twitter = dt hehe.l√†m sao ƒë·ªÉ √¥n k·ªãp vƒ© m√¥ ƒë√¢y ,0
"Listening to musiq, i miss my googly bear! ",0
"Ugh. I am SO sunburned from Six Flags  I had fun, but now I can't even move.",0
"@supersweet76 everything keeps bouncing back on msn  figures, just my luck right?",0
@JessicaPortnoy Oh  In The South Or Up North?,0
"@garrymunro Ive been wanting to send my sponsored children in Africa some books,but worldvision wont let me.I wrapped them and everything ",0
Wicked leaves tomorrow ,0
@henselnoise I'm taking refuge in my house... It's even too hot for my pool. ,0
Going to bed finally. Bed is lonely without Luke ,0
@babydoll20 nooooooooooooooooooooooooooooooooooooooooooo i was soo looking forward to that ,0
"Little on edge, looking forward to a week of cleansing and working in the studio 9-5... now I nap. @Jevir so sorry about Venice  tomorrow",0
@ShaneAugustus awwwwww it's First Saturday! I completely forgot ,0
@omgosh_robsten I have made the ulitmate sacrifce........can no longer taunt the mean crazy hater lady ,0
Oh no.. Phil is choreographing  what IS that?? #apprentice,0
*sigh*  I think my Blackberry just suffered a catastrophic failure ,0
"@azpunster Thanks! me 2. It's killing me right now   How did your Monday go? It's 4, so I pretty much consider the working day over.",0
@DaniAlexLuna i went on myspace and looked at the cruise pics  too bad &quot;&quot;&quot; we missed that damn boat&quot;&quot;&quot;  hehe,0
Awesome... http://bit.ly/8TTH1  . I missed Google I/O ,0
Man.. I just watched tbs on jk. Now I'm really sad I'm not going to get to see them tomorrow. ,0
@Tamarzipan the old neopets was amazing :o it's so shit now because i lost the username that had all the lab map peices lmao ,0
@yaymelissa i totally wanted to go watch the hangover today with you ,0
i desperately need vacation ,0
Carl is falling asleep on my &quot;bed&quot;  where do I sleep?,0
@Pippa14 Oh man i wish!!!! i would loooooove to do it again...but...i got to do it last year and i don't think i'l get on this year ,0
Time for bed...shit ass work tomorrow ,0
can you get burnt by hot bath water? the answer is... yes. ,0
@effn_awesome answer the phone when I call punk ,0
I lost my lotto ticket. I bet this was the one where I won the jackpot too. ,0
@zebedeejane  they are gonna cut my nipple off ,0
I don't like being caught when I'm doing something bad lol and ,0
Sad they stopped signing b4 i could get an autograph  whoever is @ bfd lets kick it. Waiting 4 rebelution to start playing,0
OK MY TWITTER HAS OFFICIALLY LOST IT!! seriosuly!!! i had 196 followers yesterday!!! n today they're back to 99 ,0
grrrrrr i think someone is also moving in below us ,0
Can no longer claim to be cavity free.   It's been a good run...(and I get valium to calm my nerves.),0
@MandieLovesMac my husband got it for me from Reiss! I only wore it once! ,0
even the part where she tells hef she is leaving is sad ,0
@stevieness hmm..sadtimes. ,0
Kasabian tomorrow....I can't be excited until I get the physics exam over with! ,0
@McLego I want blocks. ,0
ok... finished all the Mikados  Should shut up now! lol,0
"@Em_ilyxXx Bahaha nice, tbh at times I only think of McFly. But then realize I actually like different bands !! Haha gosh I miss you  Xxx",0
"needs to get his tuchus in gear, this fine Sunday a.m. &amp; go get some ER charts coded. ",0
@BuddyTV_SYTYCD it really was I cried a little over that one ,0
@Cassandroar i got you something ,0
@TomCook24 Aww  I was in Manchester today in the pouring rain (Y) So glad that umbrellas exist  I saw it in the cinema. Didn't like it!,0
is missing her hubby and dreading the root canal tomorrow...yikes ,0
Bahh...just finished seeing Up and having a burger Beck's Prime. Realized that I'm late getting my tux back to the rental place = 20 fee ,0
say people to add me please  an idiot hacked my twitter @dontflashme ,0
at ucr waving for my test to start....   it will be thirty min...,0
Has a ache in her head  it's just getting worse and won't go away,0
"No response to any of my tweets to (in)famous Republicans. d'oh, I thought they were funny ",0
"Still hungry, still tired, still has 13hours of work 2moro ",0
wow this is complex! No tests... poor naming... dead code ,0
Waking up and wishing everyone a Happy Father's Day! Now I gotta head to work. ,0
"@xxPipper  Awe.. I'm so sorry, sweetheart ",0
wants something BOMB.COM to drink right now but I have nothing  http://plurk.com/p/123mhr,0
"@atebits_support hmmm, so it does... Either I'm going crazy or it was acting up... Hope Apple approves your update to fix search soon! ",0
"@tommcfly plz say &quot;Happy Birthday Or , Roni &amp; Mickey!&quot; plz plz plz  xx",0
&quot;You have me. You just don't want me.&quot; ,0
"SO BORED, and im not tired. &quot;/, oh well ",0
wow... barely an hour online today... ,0
Just got back from Drs.  Have kidney infection and antibiotics... looks like I won't be drinking and free holiday cocktails now then ,0
Is feeling under the weather...again   But at least I have TRUE clarity of mind and that alone is going to make today a great day!,0
@Joe_Sparks YAAAAAAY!!! It might be weird but I miss you guys!! ,0
I am in female agony.  Sorry for the TMI. Just: ow.,0
We lost little trouble ferret this morning. Didn't even know she was sick. ,0
.@security4all So sorry for your loss   Thoughts and prayers in your direction,0
@laineylee but I don't do coffee  im js gna be droopy eyed,0
drupal Just heard the tragic news about Fintan  http://www.flickr.com/groups/bristol/discuss/7215761872.. http://tinyurl.com/lsg4hu,0
@kiayame it's about telling him how i feel. ,0
@VAMatrix It's over now ,0
@Alex_Meraz85 i'm sorry they did not show the pack in the NM trailer. i was looking 4ward to seeing all of u... nov is so far away. ,0
Looks like the hashtag #momoams is being flooded w/ spam  Damn you lousy excuses for human beings w/ your incessant spam!!!,0
"I wanna do something, but my boo isn't here. Loneliness. ",0
Joudrey had a GREAT try but Schneider covered.  #hbh,0
"Working late at night on a Dell notebook, Dell's quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead",0
Soooo feel like I haven\'t been paid enough this month!! Where does it all go?!?!?! ,0
I miss my AT&amp;T U-Verse cable ,0
@treasurebelleza  sowry,0
@katkels thanks for retweeting that. that was due to some css related madness i am dealing with ,0
Watchin The Game. . . Gotta read for my class ,0
HOLY SHIT that maths exam was sooo hard! even the smart people thought it was hard so i've deff failed ,0
"Funny tasting A+B juice is not nice, especially when no one believes you. ",0
"wish i was seeing mcfly either tonight or tomorrow  arrrh well, at least i've seen them once this week already aha",0
swine flu's easing ,0
@bsabatino I'm sorry bb  RL really is a bitch sometimes,0
Omg yoooooooooo a gay guy hit on me at work.  not cool man,0
is it seriously snowing in April ,0
@truck1010 What a week! Sorry we missed our lunch date....looking forward to getting out soon.  Still have some atrial fibrillations  ,0
@Zesylene So do I ,0
they goneee. ,0
soo I'm going to bed early..tomorrow long day at school..urghh  I DONT WANT TO GO ...goodnight (:,0
I'm bout 2 go lay down....my ibuprofen and orajel is wearing off ,0
@naytv yeah they're meant to look like bears and it looks like a dog! why do they show us this now then expect us to wait till NOVEMBER?! ,0
Neeeddds a vacationnnnn right about now!!!  xoxox,0
@thisisryanross  did something happen with you know who? I'm sorry ryro &lt;3,0
shares http://tinyurl.com/ld2j2h (sony) ÁúüÂú∞ÊòØ‰∏?ÈåØ ‰ΩÜÂ§≠Ê≠ªË≤¥???  http://plurk.com/p/1232xw,0
Finally able to fit all the wine bottles in the luggage. Gonna be hell of a haul back home tomorrow. ,0
@waxinglyrical - O Lord  Hope she'll recover soon yah.,0
hate my sis ,0
@razorianfly ,0
Hot tub won't be hot until morning.   http://myloc.me/23ll,0
@AnthonyRaneri I wanna be there ,0
ok im bac. My Car is tripping on me  I can't loose my baby,0
aweeesome long weekend.  just got out of the shower. i'm terribly cold now  homesick. kthanksbye.,0
i can't believe this ,0
back from Timisoara... can I cry now? ,0
http://tinyurl.com/ncsezb Part 2 of the Rock Profile spoof with Cheryl and Nicola - so harsh to nicola ,0
I've lost my boyfriend to call of duty Nazi zombie mode ,0
"can't play fallout anymore, it's too scary ",0
@Mskyky LOL I know how she feel my mama gone miss the hell outta me when I leave tuesday  and imm miss her,0
"@SeanyDude23 lol yeah, that's more who I am. Not a wolf ",0
after 4 hours sleep i am pooped ,0
I can't sleep. I wish I had friends. ,0
@charliejane But its no barstool.   The Bronze sign would be Killer to have.,0
"Passing time with free Airtel Wi-fi @ new terminal 1D, by the way my lappy's battery is running out fast and no switch to charge   ",0
@hiphopgrandpa I'm afraid he's in until at least 2012.    We'll have to make do 'til then.,0
@madameray i'm going to newcastle fest on monday so i'm stopping in on sunday ,0
Update: I can't eat the alfredo sauce either. ,0
What's good... Work till 5 ... ,0
who gets a cold in the summertime?!?!  ,0
@willameda I really really hope that doesn't happen. ,0
@Exzylen did your car get hurt? ,0
@CheshireGrimace Lol. There's nothing to eat here...  looks like i'm dying.,0
"done with lp meeting, off for the rest of the day! recoup for an hour then to the moore's for kristen's moving away lunch.......  ",0
@GeneralProfound HEY!!! *hug* I tried using both Twitterfox and DT a while ago. Neither of them worked as effectively as I expected. ,0
@PelleB Great with some FireWorks. In Denmark it's only allowed to use fireworks between 1st and 31st December. ,0
@cyanida  better go get that checked ASAP. heard it's been going on for some time,0
i miss @juminintendo already ,0
@arianna_skye I am lost. Please help me find a good home. ,0
I feel inspirational today. Even though today sucks all because of HER. ,0
@RealJasonEarles i missed you!! ,0
how the hell am i going to write this french paragraph without @solisitation ,0
@sarahBOOMtonin Yes!  Doug Benson!  I didn't see your response.  ,0
@luke01688 That's my exact Starbucks drink. And there is no Starbucks to be found... ,0
I likes @threebears: &quot;dawn broke again  Thanks for your company blip friends!  Have a good night/day/sunshine... ? http://blip.fm/~7b0i1,0
Just got sprayed in the face with the salty juices from the tip of a weinner ,0
aw its back down ,0
Just got told off by a cop on a segway... How dehumanizing... ,0
"@asyeasyeasye oh it was good, but I'm really tired  I need some rest hehe and I have to work tomorrow ",0
wants to go to the Lakers parade but stuck here at work  http://plurk.com/p/11p1f3,0
I'm having one of those days ,0
@mikebailey01 she makes me physically sick  her face looks like she has been mauled by an angry OAP haha,0
"halftime break. the match has been.. depressing. wtf, FCB? and what's worse is that Leverkusen is losing ",0
I think I just broke my hand.  How can i still be such a klutz? ,0
@bubbleloveee hahaha! I'm trying to exercise at home. Kaso I'm always beat cos of work &amp; school. I miss playing basketball ,0
@Ciara_b_ oh dear  still want me to come over later?,0
Is spending his last night with Samantha! ,0
@heykim WOOW that's harsh!  I'm so sorry to hear that ,0
@ChantiParnell haha she is! she is indded! im bored!  what can i do! go for a walk!,0
I'm thinking of you...I'm missing you...I need you ,0
aladdin can make this night even better. i hurt my tongue on a fucking blowpop. ,0
@lilyroseallen Happy Birthday! Sorry I missed your show in Boston. Next time i guess ,0
@ssssshora rude shora!! we are suppose to be BFF's..not cool ,0
"@MiSSHOLLYWOOD14 Sorry to hear, you have a stomach ache. ",0
wow its so nice out!! to bad i have work tomo ,0
missing my dear amandafriends  all alone fixing my portfolio.. epic loneliness.,0
@burntoutcar ugh! That has happened to me before. It's horrible!  chin up! Treat yourself to something when you get back up the City.,0
"so mad my a,s,x key are broke cause i dropped a glass of water on it ",0
@Donniedoll What do you mean you overtweeted? that's crazy! ,0
@dacort Thanks. How did accounts become &quot;affected&quot; ,0
@Freepornent lol yeah i think she rubbed us all the wrong way...i'ma about to shut off the mac and try to sleep!  ttyl kay!! #insomnia,0
server issues ,0
Sick  and it's in my chest! That's the worst kind of sick! I sound like a 90 year old chain smoker who swallowed a box of nails!,0
"Woah! What the bloody hell are they doing letting that woman bash the monarchy on Question Time!? Oh dear, oh very dear! ",0
Homework sucks and makes you hungry  going to buy a cookie now heh heh heh ^^ - http://tweet.sg,0
@MakSlav Nope   I'll be in town again this weekend though...We'll see if we can try that hangout again.,0
Aloney with my oney ,0
"Argh! There's a muffled, droning, repetitive buzz noise coming from the wall in my hotel room and it's driving me round the bloody twist ",0
Damn I just lost all my money!  I want to go home now.,0
Thats 70's show. Im not a boy ,0
"@kyork20 gave me his gross cold! headache, sore throat, stuffy nose, cough...so sick ",0
"There are just sooo many articles to write. Goldie, missed you alr! Should have just go eat with you n xiaocui!  - http://tweet.sg",0
missing my man and going to bed with a tear in my eye  I really hate tuesdays  x2,0
there goes  the last bit of  my Sour Squeeze ,0
my sister gives me so much shit for being on twitter  i'm so uncool.,0
@Haryady ,0
"@quietpopcorn yeah, until 7 ",0
had offer turned down on house we want to buy ,0
I absolutely hate packing for trips ,0
"@The_Teach oh, i wish i had free movie weekend ",0
@jaredque gets to go home. I'm here until 10:30 ,0
isPlayer Has Died! Sorry ,0
@PorcelainSky It was more like 13 when I did it Sophomore year ,0
Its such a disappointment. ,0
Don't really get if the Tweetdeck is now supposed to synch read/cleared tweets between iphone &amp; desktop. Not the case on my side ,0
"At the @AEinternational office brainstorming with T Ashhurst about various things ... then off to uni later - exam tomorrow, not excited ",0
Help! I can't decide between a book or new (much needed) business casual clothes! ,0
missing my babyboy ,0
"In Texas. Not feeling well.  going to bed, goodnight.",0
just gettin in from work as usual &amp; gotta be back at 6! My phone is mesed up...anyone know who's selling an Alltel phone? ,0
finally leaving the hospital in one piece...but not my car ,0
@sick_nasty I don't think I can. My Mom's plane is going to land and I'm pretty sure she wouldn't be happy if I wasn't there. Sorry. ,0
I smell like deep heat. ,0
I hope the weather is better (excuse the pun!) for next week. Really looking forward to it - it seems ages away since Belfast and Dublin. ,0
Let's hope the hubby's leave snafu has been fixed today.  I dont want him going away on course so soon ,0
@daddylo this yr alone.  I eat one almost every day.  I hate walgreens for selling them ,0
cant go to nhti...will miss plymouth way too much  dunno what to do,0
My poor brother is now trying to dry his shirt with a beer towel! We're both freezing cold  now   http://twitpic.com/6tnnx,0
Working with a hangover is hell on earth for a girl who never gets them. ,0
"i'm so bummed...  104 min, hangin' tough is going, no &quot;stay w me baby&quot;  ",0
Plans got ruined  what to do....hmmmm?,0
is slappin the bassss. then bed. work tommorow  gnite,0
 It seems to get harder everyday with yu so far away &lt;3,0
the smashing pumpkins used to be so good ,0
lost first game....... ,0
Morning twitterville.... Still battling a sinus headache  its tryna take ya girl DOWN man smh.. My HIM is comin 2 make me feel betta :-D,0
where did the sun go? ,0
I have a lot of bruises ,0
So tight that I'm @ work and can't hear my man HOV kiLLin on D.O.A.  even tho @emanonmusiq did hip me to it Like a few weeks ago ,0
Still awake n fighting... So not cool ,0
@morgansp12  she doesn't know if she changed her self. my bff once changed her self. now she's back. we were fighting too.,0
@gidgetch Dang! Not a good time to be without AC in SA! Brutal! Sorry to hear that ,0
awwww... just heard my little girl has bronchitis. and i'm not there to give her a hug. ,0
@michellexhannah i can't! i have no ride ,0
"@jojo_the_brat sorry, my phone is being SUPER gay! i missed the 4th of july weekend.  i wanted to take my mom and lani.  booo!",0
"@trentonmoore    awww, no monies...yet?",0
@nadineiscool let me know how it goes! I'm worried like a momma goose ,0
@micahcr Me too!!!! I'm really ready for home sweet home... I'm just a bit further away though ,0
@freshjay you should use it. I wish you'd come home..  I hate this.,0
*sigh* I'm having to future endeavor my favorite pair of lashes today  You were good to me #34 but I must bid you farewell...,0
"Oh, how i miss RADIOHEAD.  ",0
"just noticed my memory usage, I'm in swap death ",0
Nevermind they're coming anyway. ,0
Too much booze talk... making me miss it a lot ,0
"dear diare.... my monday is pretty hectic, so..shoo..shoo...away you go!! ",0
@mileycyrus i have hay fever ,0
WAKEUP tweeps !! Its time to get up and start your day. Random I'm eating chicken salad and going to natalies house cuz I'm scared ,0
@dougiemcfly COME BACK TO BRAZIL DOUGIE ,0
¬ª¬ª¬ª i wish &quot;HE&quot; was by myside ,0
@Sapnene I dont have an acct there &amp; it loads slow. @reszzpati Yes.  *feels guilty* I just really wanna see his tummy... *bats eyelashes*,0
I almost put a bet on them ,0
@MissBerryUVA09 @broguva09 I teared up a lil thinking of ya'lls dorm sings b/c that's wut they were doing on the show ,0
@BIGDADDY555 Did you hear that we have tickets for the White House tour?  Alfred will be beside himself!  I don't get to go ,0
Eating at the executive lounge of the Conrad Singapore... My phone's not working ,0
"@buffiness It totally clashes with the wedding colours, sorry  But it fit &amp; looked nice, so...hope that's okay!!",0
TGIF is certainly valid at this point. Balls to the wall - Portland for clubbing. Too bad I can't drink anything at said clubs. ,0
wtf verizon! ugh they have the UGLIEST PHONES to pick from  it is pathetic i have to go on ebay n buy THE GREEN CHOCOLATE from years ago,0
@ceraleanne  Do you need anything?,0
"@MKCOL Awww.  Poor Dinner. He's in the big petshop in the sky now, having all the carrots he could want &amp;c. Grieve not, sir.",0
" Just watched the last episode of Cupid, I love that show...so sad it is over. Good night.....this time for realzies, it is like 3:10am",0
In the airport and leaving LA- sad and pouting ,0
"FOUND AN OLD PAIR OF PUMAS! im hittin da streets, question is, where will I run? ;( my reg park im SURE its PACKED @ 11am on a Saturday ",0
"Red as a bethroot, sunburnt ",0
I need a serious hug right now.          -Jess,0
@abramatafa yep @misssheeda twitterrific premium is still down  but I have 2 other twitter apps on my iPhone,0
is worried her head might explode from the work she have to do for school.  It will be worth it in the long run.  ,0
Horrible heartburns go away ,0
"Note to self, turn phone off when going out to drink. Drunk texting is not cute ",0
@AngryBritain #moanmonday &amp; candidate for the PIT -&gt; expirian.  For holding a crap creditscore against me &amp; not telling me why ,0
@victoriazombie  i hate that we're tweeting at each other &amp; that i chose to tweet instead of txt.  ,0
"son of a bitch! i go to sign into xbox, and my membership expired. damnit. there goes another $50 ",0
http://bit.ly/2cSPOk   you can see who sabotage the country,0
@AmiiK :O Costs more here and there bitches as well ,0
@applegamble So am I! We're peasants. ,0
Sad because A Skylit Drive's new songs don't sound as good as I had hoped. ,0
@JohnGreenaway Oh my! Looks amazing. No online shopping though by the look of it  shall have to come to Cardiff!,0
just got really freaked outt ,0
has nothing to do today. ,0
maths exam at 1 ,0
I want a donair ,0
"sick at home.  watching TV, on the laptop, eating cereal, talking to Jo Dizzle. Pretty goood alreadyy",0
very sad because one class's text books will cost two weeks pay ,0
just re downloaded skype and got a very sad and depressing surprise... ,0
@backstreetboys ok.. ok.. ok.. just saw the answers video by Brain..  my answer wasn't there  but loved the video! brian's amazing!,0
"No DC today,  feel better @burnsanthony !!!",0
Missed $ES_F short ,0
"9:30am here, got woken up because it was too hot. I only had 5 1/2 hours sleep! ",0
@mellissNJ i want to go bad jones beach and pnc were amazing! epec PNC there are no more in the area after this week  i miss @joeymcintyre,0
My calves are killing me ,0
